ticker,v,vw,o,c,h,l,t,n
fx_CAUDZAR,424629486.0,177.1261,192.24,182.01,192.8673,159.7,1711944000000,5725103
fx_CAUDZAR,375625499.0,172.3987,182.2,154.59,196.95,154.02,1719806400000,5253722
stocks_BA,8951574.0,182.7312,178.09,184.57,186.01,178.0197,1717387200000,115959
stocks_BA,7176817.0,186.621,185.05,188.62,188.84,183.25,1717473600000,99850
stocks_BA,5943952.0,188.9538,187.9,189.85,190.34,186.5268,1717560000000,85202
stocks_BA,5942160.0,190.3035,188.83,191.42,192.1,187.35,1717646400000,77577
stocks_BA,3374548.0,190.5903,190.46,190.24,191.98,189.66,1717732800000,59599
stocks_BA,4388254.0,190.5306,190,190.12,192.63,189.6,1717992000000,63572
stocks_BA,5010058.0,185.2862,189.32,185.5,189.32,182.75,1718078400000,77065
stocks_BA,5245156.0,183.3599,186.5,182.67,187.16,181.71,1718164800000,80797
stocks_BA,4201004.0,181.026,181.74,180.7,183.87,178.99,1718251200000,61954
stocks_BA,5105974.0,177.4227,178.9,177.27,180.2899,175.22,1718337600000,73461
stocks_BA,4789953.0,178.3049,176.75,178.39,180.45,176.32,1718596800000,67823
stocks_BA,6179870.0,174.9916,177.61,174.99,178,173.82,1718683200000,93589
stocks_BA,5477680.0,174.7253,173.02,176.3,176.6489,172.045,1718856000000,83621
stocks_BA,8596096.0,176.6604,176.83,176.56,178.41,175.66,1718942400000,69406
stocks_BA,7216189.0,178.9248,176.15,179.1,180.6,175.5901,1719201600000,83583
stocks_BA,7695061.0,175.1475,176.29,175.1,178.76,173.29,1719288000000,100440
stocks_BA,6553895.0,177.5084,174.96,178.5,178.82,173.76,1719374400000,84312
stocks_BA,8198963.0,182.0811,178.91,182.51,183.68,178.01,1719460800000,100817
stocks_BA,5899850.0,182.2628,182.6,182.01,184.435,180.65,1719547200000,65916
stocks_BA,9056710.0,186.6705,182.2,186.7,189.47,182.2,1719806400000,118209
stocks_BA,4102453.0,186.364,186.34,185.42,189.225,184.52,1719892800000,75208
stocks_BA,2764797.0,184.2125,185.05,184.31,185.42,182.85,1719979200000,45268
stocks_BA,3290380.0,184.4055,184,184.83,185.38,182.23,1720152000000,56370
stocks_BA,9878141.0,187.1028,186.94,185.84,191.5,182.28,1720411200000,124870
stocks_BA,3955122.0,184.6968,185.11,183.24,186.245,183.15,1720497600000,62936
stocks_BA,3583175.0,183.8559,183.6,183.73,184.9,182.8,1720584000000,51566
stocks_BA,4832225.0,184.3927,184.17,183.91,186.1,183.4,1720670400000,62113
stocks_BA,5129294.0,182.0436,183.73,182.31,184.4899,180.45,1720756800000,79309
stocks_BA,5189034.0,180.1011,183.5,179.11,183.72,178.88,1721016000000,76977
stocks_BA,8546392.0,184.9865,180.05,186.05,187.44,179.2,1721102400000,109047
stocks_BA,4899566.0,185.5394,185.32,184.84,188.45,183.79,1721188800000,75438
stocks_BA,5354761.0,182.3416,184.24,180.23,187.37,179.88,1721275200000,80799
stocks_BA,4701962.0,178.9631,181.4,179.67,181.5,177.39,1721361600000,66290
stocks_BA,4883531.0,179.1591,181.36,178.9,182.72,177.23,1721620800000,71900
stocks_BA,7604085.0,184.745,179.1,186.48,187.04,179,1721707200000,106580
stocks_BA,5109135.0,182.1786,185.62,180.07,187,179.97,1721793600000,85152
stocks_BA,6122202.0,184.7,179.45,184.35,188.35,179.45,1721880000000,89008
stocks_BA,6271995.0,187.4515,185.86,186.89,189.59,184.63,1721966400000,82823
stocks_BA,3592684.0,185.216,186.7,185.43,187.08,183.83,1722225600000,57874
stocks_BA,4789017.0,186.7958,186.1,186.86,188.13,185.15,1722312000000,75517
