ticker,v,vw,o,c,h,l,t,n
fx_CAUDZAR,23634.9122312295,51868.3278,56377.5,49583.4,57578.5,45143.77,1711929600000,1753236
stocks_BA,57.978479370000265,53085.1972,52993.9,53122.31,53210.64,52872.1,1717200000000,10312
stocks_BA,94.37821309000034,53178.1952,53124.4,53162.9,53672.95,52755.08,1717286400000,9954
stocks_BA,278.6486828400071,54180.362,53162.9,53715.51,55152,53009.56,1717372800000,17384
stocks_BA,378.30346762997965,54847.6505,53721.7,55222.95,55554.11,53566.02,1717459200000,25246
stocks_BA,343.6471829699832,55630.6802,55220.4,55588.82,56200,54800,1717545600000,21256
stocks_BA,245.03904492999402,55490.5987,55583.6,55324.39,56020.65,54801.45,1717632000000,17346
stocks_BA,390.80909247997346,55148.9632,55324.1,54531.28,56322.18,53800.2,1717718400000,27714
stocks_BA,82.66688708000115,54582.2118,54538.6,54556.1,54716.3,54417.33,1717804800000,11849
stocks_BA,116.08932807000012,54702.7861,54556.1,54750.5,54983.64,54418.7,1717891200000,16082
stocks_BA,199.346304010002,54665.6827,54750.5,54615.14,55107.91,54404.9,1717977600000,14539
stocks_BA,471.0143557799998,52858.7537,54584.9,52880.09,54652.41,51831.3,1718064000000,32754
stocks_BA,351.1158777500055,53412.9194,52894.3,53350.3,54520.98,52530.4,1718150400000,22732
stocks_BA,291.9361018799913,52800.6745,53350.3,52340.99,53598.2,51930.41,1718236800000,21270
stocks_BA,295.8595079499967,52232.5655,52340,52063.78,53185.05,51265.61,1718323200000,22062
stocks_BA,74.31783209999958,52176.1988,52053.6,52185.6,52358.57,51900,1718409600000,10418
stocks_BA,81.05233364000091,52420.812,52185.7,52555.6,52770.13,52043.18,1718496000000,9703
stocks_BA,192.69266583000194,52151.3377,52555.6,52291.36,52932,51313.57,1718582400000,13831
stocks_BA,353.2018997600079,51141.6775,52294.5,51282.2,52350.7,50308.3,1718668800000,20194
stocks_BA,199.74333236999863,51184.2,51282.3,51057.47,51719.69,50824.7,1718755200000,15169
stocks_BA,183.89092236999815,51554.4992,51057,51219.82,52355.8,50929.31,1718841600000,12276
stocks_BA,235.2651253900032,50578.0076,51216.2,50714.1,51349.89,50135.79,1718928000000,15921
stocks_BA,61.705119830000406,50838.6267,50714.1,50814.8,51010.9,50550.06,1719014400000,7970
stocks_BA,78.01582391000007,50615.2653,50814.9,49996.97,51024.88,49967.82,1719100800000,8340
stocks_BA,673.5442695200585,47876.156,50001.1,47517.3,50099.89,46049.15,1719187200000,33045
stocks_BA,426.5742500999863,48501.5947,47507.3,48730.13,49174.96,47470.2,1719273600000,23309
stocks_BA,189.9057908499969,48488.7467,48728.9,48193.7,49234.51,48093.72,1719360000000,14902
stocks_BA,212.9069689699963,48403.7524,48197.9,48740.2,49245.2,46000,1719446400000,16633
stocks_BA,268.55188714000496,48220.215,48738.4,47727.3,49249.69,47409.19,1719532800000,18801
stocks_BA,88.66059178999973,48159.022,47727.3,48191,48379.8,47703.94,1719619200000,9355
stocks_BA,130.02161856999993,48802.499,48190.4,49583.4,49750,47979.37,1719705600000,12297
stocks_BA,223.7373079700066,49796.9841,49583.4,49674.1,50470.32,49242.72,1719792000000,14456
stocks_BA,178.60846096999896,49138.5873,49674.1,48883.4,50023.98,48686.55,1719878400000,13038
stocks_BA,312.787216159986,47350.9139,48893.9,47192.1,49004.64,46565.72,1719964800000,22279
stocks_BA,524.2130379900004,45432.1783,47192.1,44745.23,47400.44,44413.9,1720051200000,28133
stocks_BA,638.3251905099254,43233.6035,44730.8,44225.9,45060.91,41250.98,1720137600000,35040
stocks_BA,149.89879414999797,44699.6735,44257.8,45508.5,45681.53,43763.32,1720224000000,12787
stocks_BA,150.00979880000347,44648.8562,45508.5,43631.8,45635.89,43528.69,1720310400000,10252
stocks_BA,643.146306129942,44026.8969,43633,44243.47,45400,42402.59,1720396800000,29948
stocks_BA,393.47467741997866,44928.6248,44238.58,45395,45573.59,43923.13,1720483200000,17964
stocks_BA,292.03670121000295,45409.9489,45395,44916.1,46484.99,44500,1720569600000,15469
stocks_BA,357.39354820999864,45122.676,44916.1,44374.2,46106.1,44139,1720656000000,17765
stocks_BA,378.8605308399931,44379.2793,44378.3,44611.13,45096.89,43800,1720742400000,19587
stocks_BA,112.09880250000032,45209.0186,44624,45641.36,46115.89,44518.93,1720828800000,12097
stocks_BA,166.4435208700018,46388.6816,45643.2,46913.7,47336.82,45627.19,1720915200000,11817
stocks_BA,420.64964529000173,48712.3317,46913.7,49960.97,50063.16,46822.93,1721001600000,21406
stocks_BA,448.6164495299877,49639.2604,49990.1,50168.61,50409.61,48143.03,1721088000000,22780
stocks_BA,245.52603708999604,50003.8478,50167.5,49276.6,50980,49125.12,1721174400000,17505
stocks_BA,271.690889110005,49478.1736,49276.6,49409.82,50167.57,48808.35,1721260800000,14650
stocks_BA,307.2910110400016,50638.579,49411.6,51667.3,52230.13,48920.78,1721347200000,18876
