ticker,v,vw,o,c,h,l,t,n
fx_CAUDZAR,4302996974.0,190.2019,171.19,210.62,220.2,164.075,1711944000000,45908377
fx_CAUDZAR,2919551150.0,222.1119,212.09,228.87,237.23,196,1719806400000,39989060
stocks_BA,50078439.0,193.7892,192.9,194.03,194.99,192.52,1717387200000,700956
stocks_BA,47471445.0,194.3014,194.635,194.35,195.32,193.0342,1717473600000,575318
stocks_BA,54156785.0,195.8699,195.4,195.87,196.9,194.87,1717560000000,648283
stocks_BA,41162753.0,195.3147,195.685,194.48,196.5,194.17,1717646400000,550122
stocks_BA,53085712.0,195.9035,194.65,196.89,196.94,194.14,1717732800000,505958
stocks_BA,97262077.0,194.4151,196.9,193.12,197.3,192.15,1717992000000,1115274
stocks_BA,172116296.0,203.2083,193.65,207.15,207.16,193.63,1718078400000,1601776
stocks_BA,198109293.0,215.2622,207.37,213.07,220.2,206.9,1718164800000,1861009
stocks_BA,97750229.0,214.0158,214.74,214.24,216.75,211.6,1718251200000,1032968
stocks_BA,70108898.0,212.7595,213.85,212.49,215.17,211.3,1718337600000,793743
stocks_BA,93689100.0,216.4099,213.37,216.67,218.95,212.72,1718596800000,1034961
stocks_BA,79943254.0,214.7342,217.59,214.29,218.63,213,1718683200000,919960
stocks_BA,86095783.0,210.6223,213.93,209.68,214.24,208.85,1718856000000,1005360
stocks_BA,246421353.0,208.4264,210.39,207.49,211.89,207.11,1718942400000,881938
stocks_BA,80721906.0,209.3296,207.72,208.14,212.7,206.59,1719201600000,916151
stocks_BA,56280868.0,209.6841,209.15,209.07,211.38,208.61,1719288000000,621193
stocks_BA,66213186.0,213.1448,211.5,213.25,214.86,210.64,1719374400000,769103
stocks_BA,49772707.0,213.9138,214.69,214.1,215.7395,212.35,1719460800000,644397
stocks_BA,82538718.0,212.5585,215.77,210.62,216.07,210.3,1719547200000,729911
stocks_BA,60402929.0,215.5066,212.09,216.75,217.51,211.92,1719806400000,784845
stocks_BA,58046178.0,219.2005,216.15,220.27,220.38,215.1,1719892800000,689998
stocks_BA,37269801.0,220.6593,220,221.55,221.55,219.03,1719979200000,566783
stocks_BA,59517108.0,224.9718,221.65,226.34,226.45,221.65,1720152000000,767413
stocks_BA,59085861.0,226.3635,227.09,227.82,227.85,223.25,1720411200000,790096
